ModeOfTransport,Name,Type,Month,Year,PassengerCount
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Jan,2018,"1,986"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Jan,2019,"1,754"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Feb,2017,978
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Feb,2018,888
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Feb,2019,871
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Mar,2017,945
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Mar,2018,851
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Apr,2017,"1,502"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Apr,2018,"1,405"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,May,2017,"1,036"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,May,2018,937
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Jun,2017,"1,108"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Jun,2018,821
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Jul,2017,"1,590"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Jul,2018,"1,486"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Aug,2016,"1,620"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Aug,2017,944
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Aug,2018,993
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Sep,2016,"1,843"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Sep,2017,"1,183"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Sep,2018,913
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Oct,2016,"1,632"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Oct,2017,"1,223"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Oct,2018,"1,176"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Nov,2016,"1,273"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Nov,2017,"1,014"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Nov,2018,946
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Dec,2016,"1,709"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Dec,2017,"1,698"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Dec,2018,"1,468"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Jan,2017,"1,393"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Jan,2018,"1,346"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Jan,2019,"1,097"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Feb,2017,611
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Feb,2018,547
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Feb,2019,578
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Mar,2017,711
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Mar,2018,573
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Apr,2017,999
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Apr,2018,"1,018"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,May,2017,581
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,May,2018,503
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Jun,2017,696
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Jun,2018,580
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Jul,2017,"1,039"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Jul,2018,849
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Aug,2016,"1,112"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Aug,2017,577
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Aug,2018,490
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,Sep,2016,"1,246"
